"ED","AC","Report","GUID"
"Kilmullen, Laois","Laois County Council","<a href="".\reports\html\47--csohealthprofile--edname--kilmullen--laois--acname--laois-county-council--edguid--2ae19629-16cd-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\47--csohealthprofile--edname--kilmullen--laois--acname--laois-county-council--edguid--2ae19629-16cd-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16cd-13a3-e055-000000000001"
"Kilmurry, Laois","Laois County Council","<a href="".\reports\html\48--csohealthprofile--edname--kilmurry--laois--acname--laois-county-council--edguid--2ae19629-16ce-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\48--csohealthprofile--edname--kilmurry--laois--acname--laois-county-council--edguid--2ae19629-16ce-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ce-13a3-e055-000000000001"
"Kilnaseer, Laois","Laois County Council","<a href="".\reports\html\49--csohealthprofile--edname--kilnaseer--laois--acname--laois-county-council--edguid--2ae19629-16cf-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\49--csohealthprofile--edname--kilnaseer--laois--acname--laois-county-council--edguid--2ae19629-16cf-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16cf-13a3-e055-000000000001"
"Kyle, Laois","Laois County Council","<a href="".\reports\html\50--csohealthprofile--edname--kyle--laois--acname--laois-county-council--edguid--2ae19629-16d0-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\50--csohealthprofile--edname--kyle--laois--acname--laois-county-council--edguid--2ae19629-16d0-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d0-13a3-e055-000000000001"
"Dunmore, Laois","Laois County Council","<a href="".\reports\html\51--csohealthprofile--edname--dunmore--laois--acname--laois-county-council--edguid--2ae19629-16d1-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\51--csohealthprofile--edname--dunmore--laois--acname--laois-county-council--edguid--2ae19629-16d1-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d1-13a3-e055-000000000001"
"Durrow, Laois","Laois County Council","<a href="".\reports\html\52--csohealthprofile--edname--durrow--laois--acname--laois-county-council--edguid--2ae19629-16d2-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\52--csohealthprofile--edname--durrow--laois--acname--laois-county-council--edguid--2ae19629-16d2-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d2-13a3-e055-000000000001"
"Dysartgallen, Laois","Laois County Council","<a href="".\reports\html\53--csohealthprofile--edname--dysartgallen--laois--acname--laois-county-council--edguid--2ae19629-16d3-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\53--csohealthprofile--edname--dysartgallen--laois--acname--laois-county-council--edguid--2ae19629-16d3-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d3-13a3-e055-000000000001"
"Emo, Laois","Laois County Council","<a href="".\reports\html\54--csohealthprofile--edname--emo--laois--acname--laois-county-council--edguid--2ae19629-16d4-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\54--csohealthprofile--edname--emo--laois--acname--laois-county-council--edguid--2ae19629-16d4-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d4-13a3-e055-000000000001"
"Errill, Laois","Laois County Council","<a href="".\reports\html\55--csohealthprofile--edname--errill--laois--acname--laois-county-council--edguid--2ae19629-16d5-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\55--csohealthprofile--edname--errill--laois--acname--laois-county-council--edguid--2ae19629-16d5-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d5-13a3-e055-000000000001"
"Farnans, Laois","Laois County Council","<a href="".\reports\html\56--csohealthprofile--edname--farnans--laois--acname--laois-county-council--edguid--2ae19629-16d6-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\56--csohealthprofile--edname--farnans--laois--acname--laois-county-council--edguid--2ae19629-16d6-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d6-13a3-e055-000000000001"
"Fossy, Laois","Laois County Council","<a href="".\reports\html\57--csohealthprofile--edname--fossy--laois--acname--laois-county-council--edguid--2ae19629-16d7-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\57--csohealthprofile--edname--fossy--laois--acname--laois-county-council--edguid--2ae19629-16d7-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d7-13a3-e055-000000000001"
"Garrymore, Laois","Laois County Council","<a href="".\reports\html\58--csohealthprofile--edname--garrymore--laois--acname--laois-county-council--edguid--2ae19629-16d8-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\58--csohealthprofile--edname--garrymore--laois--acname--laois-county-council--edguid--2ae19629-16d8-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d8-13a3-e055-000000000001"
"Graigue, Laois","Laois County Council","<a href="".\reports\html\59--csohealthprofile--edname--graigue--laois--acname--laois-county-council--edguid--2ae19629-16d9-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\59--csohealthprofile--edname--graigue--laois--acname--laois-county-council--edguid--2ae19629-16d9-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16d9-13a3-e055-000000000001"
"Graigue Rural, Laois","Laois County Council","<a href="".\reports\html\60--csohealthprofile--edname--graigue-rural--laois--acname--laois-county-council--edguid--2ae19629-16da-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\60--csohealthprofile--edname--graigue-rural--laois--acname--laois-county-council--edguid--2ae19629-16da-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16da-13a3-e055-000000000001"
"Grantstown, Laois","Laois County Council","<a href="".\reports\html\61--csohealthprofile--edname--grantstown--laois--acname--laois-county-council--edguid--2ae19629-16db-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\61--csohealthprofile--edname--grantstown--laois--acname--laois-county-council--edguid--2ae19629-16db-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16db-13a3-e055-000000000001"
"Jamestown, Laois","Laois County Council","<a href="".\reports\html\62--csohealthprofile--edname--jamestown--laois--acname--laois-county-council--edguid--2ae19629-16dc-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\62--csohealthprofile--edname--jamestown--laois--acname--laois-county-council--edguid--2ae19629-16dc-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16dc-13a3-e055-000000000001"
"Kilcoke, Laois","Laois County Council","<a href="".\reports\html\63--csohealthprofile--edname--kilcoke--laois--acname--laois-county-council--edguid--2ae19629-16dd-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\63--csohealthprofile--edname--kilcoke--laois--acname--laois-county-council--edguid--2ae19629-16dd-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16dd-13a3-e055-000000000001"
"Kilcolmanbane, Laois","Laois County Council","<a href="".\reports\html\64--csohealthprofile--edname--kilcolmanbane--laois--acname--laois-county-council--edguid--2ae19629-16de-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\64--csohealthprofile--edname--kilcolmanbane--laois--acname--laois-county-council--edguid--2ae19629-16de-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16de-13a3-e055-000000000001"
"Kildellig, Laois","Laois County Council","<a href="".\reports\html\65--csohealthprofile--edname--kildellig--laois--acname--laois-county-council--edguid--2ae19629-16df-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\65--csohealthprofile--edname--kildellig--laois--acname--laois-county-council--edguid--2ae19629-16df-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16df-13a3-e055-000000000001"
"Kyle South, Laois","Laois County Council","<a href="".\reports\html\66--csohealthprofile--edname--kyle-south--laois--acname--laois-county-council--edguid--2ae19629-16e0-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\66--csohealthprofile--edname--kyle-south--laois--acname--laois-county-council--edguid--2ae19629-16e0-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16e0-13a3-e055-000000000001"
"Lacka, Laois","Laois County Council","<a href="".\reports\html\67--csohealthprofile--edname--lacka--laois--acname--laois-county-council--edguid--2ae19629-16e1-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\67--csohealthprofile--edname--lacka--laois--acname--laois-county-council--edguid--2ae19629-16e1-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16e1-13a3-e055-000000000001"
"Luggacurren, Laois","Laois County Council","<a href="".\reports\html\68--csohealthprofile--edname--luggacurren--laois--acname--laois-county-council--edguid--2ae19629-16e2-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\68--csohealthprofile--edname--luggacurren--laois--acname--laois-county-council--edguid--2ae19629-16e2-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16e2-13a3-e055-000000000001"
